GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US09,09,Connecticut,0.4950,0.0021
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",0.4288,0.0332
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",0.4770,0.0106
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",0.4259,0.0350
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",0.4417,0.0145
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",0.5164,0.0134
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",0.4546,0.0347
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",0.4976,0.0158
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",0.5904,0.0116
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",0.4258,0.0239
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",0.5523,0.0165
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",0.4087,0.0328
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",0.4302,0.0190
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",0.4849,0.0110
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",0.4597,0.0324
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",0.4794,0.0225
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",0.4570,0.0257
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",0.5204,0.0530
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",0.5163,0.0090
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",0.4271,0.0147
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",0.4034,0.0211
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",0.4557,0.0293
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",0.5356,0.0179
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",0.4696,0.0187
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",0.4732,0.0179
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",0.4090,0.0235
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",0.4497,0.0323
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",0.4148,0.0147
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",0.3903,0.0309
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",0.4520,0.0402
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",0.3732,0.0352
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",0.4097,0.0124
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",0.3748,0.0268
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",0.3829,0.0183
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",0.4792,0.0212
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",0.4580,0.0215
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",0.4009,0.0327
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",0.5032,0.0148
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",0.3793,0.0288
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",0.4194,0.0140
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",0.3827,0.0513
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",0.4583,0.0112
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",0.3740,0.0123
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",0.4257,0.0247
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",0.4203,0.0304
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",0.4341,0.0167
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",0.3926,0.0139
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",0.3983,0.0187
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",0.4327,0.0301
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",0.4798,0.0120
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",0.4249,0.0214
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",0.3818,0.0212
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",0.4328,0.0520
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",0.3515,0.0363
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",0.4731,0.0743
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",0.4560,0.0458
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",0.4949,0.0617
